Term,Definition,Definition Source,Definition Accepted?,Context,Acceptable Values,Description,Abrreviation or Acronym,Unit,Definition uri,Broader Term,Narrower Term,Related Terms,Comments
Stock,"1) roups of the same species with a shared characteristic(s) of interest to managers. 2) A genetically distinct population of salmon, spawning at similar times and location.","1) https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html
2) https://www.psc.org/wp-content/uploads/wpfd/preview_files/PSC-Technical-Report-No.-49(ac2ef27277eab81da1d8dea067dd80c1).pdf",,,,,,,,,,,
Stock Assessment Approach,,,,,,,,,,,,,
Stock Management Unit,Collections of stocks that are managed together with a joint stock status,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,Conservation Unit,,
Stock Status,"Refers to a determination made, on the basis of stock assessment results, about the current condition of the stock",https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,,,
Stock Status Zone,"Limit Reference Point demarcates Critical and Cautious Zone, Upper Stock Reference demarcates Cautious and Healthy Zone.",A fishery decision-making framework incorporating the precautionary approach,,,Healthy; Cautious; Critical,"Supports the ""General Decision Framework"" of the Precautionary Approach. ",,,,,,,
Target Reference Point,the overall stock level target,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,"Usually 80 % probability of achieving 80% of MSY (mentioned in Stikine presentation). ""A TRP (Target Reference Point) is a required element under
UNFA and in the FAO guidance on the application of the PA (Precautionary
Approach), as well as ecocertification standards based on it, such those of
the Marine Stewardship Council and may also be desirable in other
situations. The threshold point below which removals must be reduced to avoid serious harm (USR (Upper Stock Reference Point)) can be different
than the TRP (Target Reference Point). However, it is essential that while
socio-economic factors may influence the location of the USR (Upper Stock
Reference Point), these factors must not diminish its minimum function in
guiding management of the risk of approaching the LRP (Limit Reference
Point).""",TRP,,,,,,
Terminal Run,,,,,,,,,,,,,
Total Age,,,,,,,,,,,,,
Total Allowable Catch,a catch limit set for a particular fishery,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,,,
Total Run,,,,,,,,,,,,,
Transboundary Stock,,,,,,"Pacific Salmon Commission Transboundary Technical Committee manages this stock in coordination with US, Canadian and Indigenous groups",,,,,,,
UMSY,,,,,,the exploitation rate—the proportion of a fish population removed by fishing—that achieves the Maximum Sustainable Yield (MSY),,,,,,,
Upper Stock Reference,A threshold below which fishing must be reduced to avoid reaching the limit reference point. 80% of sMSY is recommended by Holt at al. 2009,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,USR,,,Reference Point,,80% sMSY,
Upper Stock Reference Point,In accordance with SAR 2006-023 the USR (Upper Stock Reference Point) is the stock level threshold below which removals must be progressively reduced in order to avoid reaching the LRP (Limit Reference Point).,,," In Precautionary Approach Framework, the USR (Upper Stock Reference Point), at minimum, must be set at an appropriate distance above the LRP (Limit Reference Point) to provide sufficient opportunity for the management system to recognize a declining stock status and sufficient time for management actions to have effect. Secondly, the USR (Upper Stock Reference Point) can be a target reference point (TRP (Target Reference Point)) determined by productivity objectives for the stock, broader biological considerations and social and economic objectives for the fishery.",,,,,,,,,
Wild Salmon,"Salmon are considered ""wild"" if they have spent their entire life cycle in the wild and originate from parents that were also produced by natural spawning and continuously lived in the wild.",https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,,,,,,,,,,,
Wsp Status Zone,,,,,Red; Amber; Green; Data Deficient,,,,,,,,
